一般漢字語：本文維持の対象一覧
調査基準: 697fd5d2986d4c7bb774c096bdc35aa383083978（ローカル作業一覧草案を含む）
C=cspell全件診断、W=長文分割した許可一覧の補助診断。重複する検出を含む。
各行は同じ語・対応方針の全検出をまとめる。箇所は代表1件で、README.mdのF番号を参照。
未適用の提案。許可候補を自動で登録したものではない。

共通対応J01：本文を維持する。一般漢字語まで個別に許可を要求する契約の見直しを提案する。未適用。
語	W件数	代表箇所
見た目	4	F06:35
見出し	7	F06:55
見かけ	1	F17:71
見方	1	F17:61
見本	1	F13:233
規則	49	F03:3
規模	7	F04:15
規約	2	F10:151
視線	1	F07:907
視認	1	F13:280
覚書	1	F16:86
親子	1	F08:119
観察	1	F07:45
観測	101	F07:79
観点	8	F07:1145
角度	13	F07:178
角速度	14	F07:235
解像度	1	F13:291
解放	2	F07:375
解析	12	F09:39
解決	41	F07:127
解消	3	F04:33
解釈	1	F13:21
解除	1	F11:301
言語	1	F21:1(Java)
計画	18	F05:15
計算	17	F07:150
計算機	2	F21:1(OS)
記号	3	F01:25
記法	2	F21:1(Markdown)
記載	1	F09:32
記述	5	F01:14
記録	506	F01:46
設定	343	F02:56
設計	116	F01:6
設計書	13	F07:66
許可	50	F07:290
許容	13	F07:144
診断	310	F03:17
証明	1	F05:17
証跡	73	F01:30
評価	1	F07:715
試合	2	F14:13
試行	1	F13:52
試験	38	F04:48
該当	7	F01:18
詳細	50	F02:56
語彙	9	F15:25
誤差	1	F13:234
誤表記	1	F20:119
説明	19	F06:41
説明文	7	F08:278
読み	1	F20:115
読み取り	9	F04:29
読み手	1	F08:314
読み込み	1	F11:104
課題	8	F06:20
調停	1	F07:486
調整	12	F07:572
調査	38	F01:6
識別	32	F07:123
識別子	24	F07:152
警告	3	F13:54
負荷	4	F10:16
責任	1	F13:218
責務	64	F07:52
資料	11	F06:16
資源	1	F21:1(OS)
購読	3	F07:1008
起動	78	F02:45
起因	1	F07:467
起点	2	F11:102
距離	12	F07:760
